Dataset,Algorithm,CorrelationThreshold,NumFeatures,F1Score,BalancedAccuracy,AUC
Baseline,SVM_Linear,0.8,46,0.6127021696252466,0.502441576560865,0.7378793163585631
Baseline,SVM_Linear,0.85,50,0.5994963248090743,0.4918032786885246,0.7127659574468085
Baseline,SVM_Linear,0.9,57,0.5965647600262984,0.48770491803278687,0.7303801883501919
Baseline,SVM_Linear,0.95,63,0.6095495204865031,0.4983432159051273,0.7251482385769097
Baseline,SVM_RBF,0.8,46,0.7237880203467248,0.6185908615277294,0.7685734216951516
Baseline,SVM_RBF,0.85,50,0.7333366977454233,0.6267875828392048,0.7622950819672132
Baseline,SVM_RBF,0.9,57,0.7237880203467248,0.6185908615277294,0.759679107080572
Baseline,SVM_RBF,0.95,63,0.7237880203467248,0.6185908615277294,0.7596791070805721
Baseline,RandomForest,0.8,46,0.7285507250448149,0.622689222183467,0.7464248343215906
Baseline,RandomForest,0.85,50,0.7294607520851865,0.620247645622602,0.7687478200209278
Baseline,RandomForest,0.9,57,0.7417921530914093,0.6374258807115452,0.7593303104290199
Baseline,RandomForest,0.95,63,0.7451816211702488,0.6439658179281479,0.7437216602720614
Baseline,KNN,0.8,46,0.7209658591438103,0.6504185559818626,0.6757935123822811
Baseline,KNN,0.85,50,0.6960230245944532,0.629926752703174,0.6784094872689223
Baseline,KNN,0.9,57,0.7194058688564184,0.6594000697593303,0.7001220788280432
Baseline,KNN,0.95,63,0.7077144467254357,0.6446634112312521,0.684949424485525
Baseline,DecisionTree,0.8,46,0.6991922058048914,0.627485176142309,0.627485176142309
Baseline,DecisionTree,0.85,50,0.7140436853300872,0.6397802581095222,0.6397802581095222
Baseline,DecisionTree,0.9,57,0.6609487582015054,0.5857167771189397,0.5857167771189397
Baseline,DecisionTree,0.95,63,0.7021288388855075,0.6250435995814441,0.6250435995814441
Baseline,NaiveBayes,0.8,46,0.4375136277765294,0.603331008022323,0.6756191140565051
Baseline,NaiveBayes,0.85,50,0.46880707137117394,0.6197244506452738,0.6780606906173701
Baseline,NaiveBayes,0.9,57,0.504246432300731,0.6230380188350192,0.6883501918381585
Baseline,NaiveBayes,0.95,63,0.5231604682258031,0.641873038018835,0.6953261248692012
Baseline,LogisticRegression,0.8,46,0.7289216703260085,0.6520753400767353,0.7607254970352284
Baseline,LogisticRegression,0.85,50,0.7289216703260085,0.6520753400767353,0.7560167422392744
Baseline,LogisticRegression,0.9,57,0.7259585317746668,0.6545169166376003,0.7528775723753052
