Dataset,Algorithm,CorrelationThreshold,NumFeatures,F1Score,BalancedAccuracy,AUC
Baseline,SVM_Linear,0.8,46,0.6201480453645222,0.5032263690268574,0.7558423439134986
Baseline,SVM_Linear,0.85,50,0.6086431299197257,0.4925880711545169,0.7406696895709801
Baseline,SVM_Linear,0.9,57,0.6387475045412851,0.5220613882106732,0.7680502267178234
Baseline,SVM_Linear,0.95,63,0.6120255390165692,0.49668643181025457,0.7624694802929892
Baseline,SVM_RBF,0.8,46,0.7153092969982205,0.6079525636553889,0.7785141262643878
Baseline,SVM_RBF,0.85,50,0.7200035326326945,0.6120509243111266,0.7657830484827346
Baseline,SVM_RBF,0.9,57,0.7106350689346641,0.6038542029996512,0.7663062434600627
Baseline,SVM_RBF,0.95,63,0.7153092969982205,0.6079525636553889,0.7575863271712591
Baseline,RandomForest,0.8,46,0.7466698628581522,0.6415242413672829,0.7826996860830137
Baseline,RandomForest,0.85,50,0.7237880203467248,0.6185908615277294,0.7358737356121382
Baseline,RandomForest,0.9,57,0.7321140119994922,0.6292291594000697,0.7567143355423788
Baseline,RandomForest,0.95,63,0.7321140119994922,0.6292291594000697,0.757237530519707
Baseline,KNN,0.8,46,0.7209658591438103,0.6504185559818626,0.6757935123822811
Baseline,KNN,0.85,50,0.6960230245944532,0.629926752703174,0.6784094872689223
Baseline,KNN,0.9,57,0.7194058688564184,0.6594000697593303,0.7001220788280432
Baseline,KNN,0.95,63,0.7077144467254357,0.6446634112312521,0.684949424485525
Baseline,DecisionTree,0.8,46,0.7127381816902417,0.6487617718869898,0.6487617718869899
Baseline,DecisionTree,0.85,50,0.6923076923076923,0.6168468782699685,0.6168468782699686
Baseline,DecisionTree,0.9,57,0.6910295297807367,0.6258283920474363,0.6258283920474363
Baseline,DecisionTree,0.95,63,0.6479110262562505,0.5799616323683292,0.5799616323683292
Baseline,NaiveBayes,0.8,46,0.4375136277765294,0.603331008022323,0.6756191140565051
Baseline,NaiveBayes,0.85,50,0.46880707137117394,0.6197244506452738,0.6780606906173701
Baseline,NaiveBayes,0.9,57,0.504246432300731,0.6230380188350192,0.6883501918381585
Baseline,NaiveBayes,0.95,63,0.5231604682258031,0.641873038018835,0.6953261248692012
Baseline,LogisticRegression,0.8,46,0.7289216703260085,0.6520753400767353,0.7607254970352284
Baseline,LogisticRegression,0.85,50,0.7289216703260085,0.6520753400767353,0.7560167422392744
Baseline,LogisticRegression,0.9,57,0.7259585317746668,0.6545169166376003,0.7528775723753052
Baseline,LogisticRegression,0.95,63,0.7378733782192466,0.6692535751656784,0.754970352284618
Baseline,XGBoost,0.8,46,0.7142737949199018,0.6218172305545866,0.7497384025113359
Baseline,XGBoost,0.85,50,0.7538843147565134,0.6725671433554238,0.7626438786187653
Baseline,XGBoost,0.9,57,0.7315794754685306,0.6406522497384025,0.7506103941402162
Baseline,XGBoost,0.95,63,0.7388740623441079,0.6602720613882107,0.7462504359958145
Ela_metadataset,SVM_Linear,0.8,28,0.6568482290398429,0.5392396232996163,0.771712591559121
Ela_metadataset,SVM_Linear,0.85,32,0.7023170123761839,0.5883327520055808,0.7346529473317057
Ela_metadataset,SVM_Linear,0.9,34,0.688471292021588,0.5735960934775026,0.7370073247296826
Ela_metadataset,SVM_Linear,0.95,38,0.686052635079005,0.5687129403557726,0.7608998953610046
Ela_metadataset,SVM_RBF,0.8,28,0.6789171489655768,0.5629577956051622,0.7444192535751657
Ela_metadataset,SVM_RBF,0.85,32,0.6800040372945081,0.5678409487268923,0.7602895012207883
Ela_metadataset,SVM_RBF,0.9,34,0.6753529025022238,0.5613010115102895,0.7483432159051273
Ela_metadataset,SVM_RBF,0.95,38,0.6660818052144136,0.550662713637949,0.7446808510638298
Ela_metadataset,RandomForest,0.8,28,0.7532796378950225,0.6546041158004883,0.7766829438437391
Ela_metadataset,RandomForest,0.85,32,0.7500939231708462,0.6480641785838857,0.7612486920125567
Ela_metadataset,RandomForest,0.9,34,0.7354299127800152,0.6357690966166725,0.764475061039414
Ela_metadataset,RandomForest,0.95,38,0.7434154064867666,0.646407394489013,0.7856644576212068
Ela_metadataset,KNN,0.8,28,0.6397365240294415,0.5333972793861179,0.6464073944890129
Ela_metadataset,KNN,0.85,32,0.6600100366659817,0.5587722357865365,0.6633240320892919
Ela_metadataset,KNN,0.9,34,0.6476467652720175,0.5440355772584583,0.6793686780606907
Ela_metadataset,KNN,0.95,38,0.6816407732301177,0.58170561562609,0.6863446110917336
Ela_metadataset,DecisionTree,0.8,28,0.6902924925476629,0.6013254272758981,0.6013254272758981
Ela_metadataset,DecisionTree,0.85,32,0.6568047337278107,0.5726369026857342,0.5726369026857342
Ela_metadataset,DecisionTree,0.9,34,0.6492573360705229,0.5709801185908615,0.5709801185908616
Ela_metadataset,DecisionTree,0.95,38,0.5886116113540864,0.5152598535054064,0.5152598535054064
Ela_metadataset,NaiveBayes,0.8,28,0.3716248096338594,0.5533658876874782,0.6426578304848275
Ela_metadataset,NaiveBayes,0.85,32,0.38444198799228385,0.5509243111266132,0.6548657132891524
Ela_metadataset,NaiveBayes,0.9,34,0.40472541719300575,0.5525810952214859,0.6470177886292291
Ela_metadataset,NaiveBayes,0.95,38,0.4282924248945957,0.564876177188699,0.6504185559818625
Ela_metadataset,LogisticRegression,0.8,28,0.7391195518833886,0.6512905476107429,0.7567143355423788
Ela_metadataset,LogisticRegression,0.85,32,0.7538843147565134,0.6725671433554238,0.769271014998256
Ela_metadataset,LogisticRegression,0.9,34,0.7538843147565134,0.6725671433554238,0.7677014300662715
Ela_metadataset,LogisticRegression,0.95,38,0.7415785304943391,0.6578304848273456,0.7781653296128357
Ela_metadataset,XGBoost,0.8,28,0.7784958832808622,0.70204046041158,0.7830484827345657
Ela_metadataset,XGBoost,0.85,32,0.7391195518833886,0.6512905476107429,0.7783397279386118
Ela_metadataset,XGBoost,0.9,34,0.7292727462321648,0.6430938262992675,0.7704918032786884
Ela_metadataset,XGBoost,0.95,38,0.7590047033834015,0.6676839902336937,0.7940355772584583
Combined,SVM_Linear,0.8,73,0.720797520839632,0.6071677711893966,0.7957795605162191
Combined,SVM_Linear,0.85,81,0.7205990615059379,0.6096093477502617,0.7895012207882804
