Dataset,Algorithm,CorrelationThreshold,NumFeatures,F1Score,BalancedAccuracy,AUC
Baseline,SVM_Linear,0.8,46,0.6254862747523602,0.5130798744332055,0.778514126264388
Baseline,SVM_Linear,0.85,50,0.6095495204865031,0.4983432159051273,0.7538367631670735
Baseline,SVM_Linear,0.9,57,0.6032071358478813,0.4901464945936519,0.7678758283920475
Baseline,SVM_Linear,0.95,63,0.6187676403244351,0.50488315312173,0.7728461806766656
Baseline,SVM_RBF,0.8,46,0.7205990615059379,0.6096093477502617,0.8051970701081269
Baseline,SVM_RBF,0.85,50,0.7347576447976504,0.6219044297174747,0.7994419253575166
Baseline,SVM_RBF,0.9,57,0.7252897931630963,0.6137077084059993,0.7994419253575166
Baseline,SVM_RBF,0.95,63,0.7300084530853761,0.617806069061737,0.7968259504708753
Baseline,RandomForest,0.8,46,0.738516420214033,0.6423090338332752,0.7343913498430414
Baseline,RandomForest,0.85,50,0.7200035326326945,0.6120509243111266,0.7527903732124173
Baseline,RandomForest,0.9,57,0.7200035326326945,0.6120509243111266,0.7588071154516917
Baseline,RandomForest,0.95,63,0.7369409717587855,0.6333275200558075,0.7615102895012208
Baseline,KNN,0.8,46,0.7209658591438103,0.6504185559818626,0.6757935123822811
Baseline,KNN,0.85,50,0.6960230245944532,0.629926752703174,0.6784094872689223
Baseline,KNN,0.9,57,0.7194058688564184,0.6594000697593303,0.7001220788280432
Baseline,KNN,0.95,63,0.7077144467254357,0.6446634112312521,0.684949424485525
Baseline,DecisionTree,0.8,46,0.7259585317746668,0.6545169166376003,0.6545169166376003
Baseline,DecisionTree,0.85,50,0.7376665818893048,0.684775026159749,0.684775026159749
Baseline,DecisionTree,0.9,57,0.6873958217188086,0.6127485176142309,0.6127485176142309
Baseline,DecisionTree,0.95,63,0.6991922058048914,0.627485176142309,0.627485176142309
Baseline,NaiveBayes,0.8,46,0.4375136277765294,0.603331008022323,0.6756191140565051
Baseline,NaiveBayes,0.85,50,0.46880707137117394,0.6197244506452738,0.6780606906173701
Baseline,NaiveBayes,0.9,57,0.504246432300731,0.6230380188350192,0.6883501918381585
Baseline,NaiveBayes,0.95,63,0.5231604682258031,0.641873038018835,0.6953261248692012
Baseline,LogisticRegression,0.8,46,0.7289216703260085,0.6520753400767353,0.7607254970352284
Baseline,LogisticRegression,0.85,50,0.7289216703260085,0.6520753400767353,0.7560167422392744
Baseline,LogisticRegression,0.9,57,0.7259585317746668,0.6545169166376003,0.7528775723753052
Baseline,LogisticRegression,0.95,63,0.7378733782192466,0.6692535751656784,0.754970352284618
