Dataset,Algorithm,CorrelationThreshold,TrueLabel,PredictedLabel,Prob_Defaults,Prob_Tuning
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.1796612582990023,0.8203387417009977
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.24189474845064562,0.7581052515493546
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.40610192056259214,0.5938980794374079
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.20074294353766206,0.7992570564623378
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.1886132194779355,0.8113867805220644
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.4100333137183286,0.5899666862816715
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.0658163043850556,0.9341836956149446
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.1958588879330242,0.8041411120669757
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.14967668161329262,0.8503233183867075
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.22801776575614555,0.7719822342438547
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.23208145874009967,0.7679185412599006
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.2999438785313527,0.7000561214686475
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.1831661307515071,0.816833869248493
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.18660574670436614,0.813394253295634
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.028233347620716914,0.9717666523792833
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2323744903329577,0.7676255096670422
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.49329373625722167,0.5067062637427783
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2408383739683988,0.7591616260316011
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.34848912788070896,0.6515108721192909
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.31446564440316027,0.6855343555968396
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.27400554355466095,0.7259944564453392
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.2978189054813277,0.7021810945186723
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.08356777155604442,0.9164322284439557
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.29390752055825087,0.7060924794417489
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.28020550970210484,0.7197944902978956
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.23052466057776264,0.7694753394222372
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.24302315875483366,0.7569768412451663
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.26868654735038106,0.7313134526496191
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.28131734939561415,0.718682650604386
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.21935510306473455,0.7806448969352654
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.16214764867833628,0.8378523513216637
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.223288715316426,0.7767112846835741
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.37231714491193924,0.6276828550880607
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.2616081315893786,0.7383918684106212
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.1528776816209555,0.8471223183790445
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.47705863447761176,0.5229413655223883
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.18813703006527607,0.8118629699347238
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3351307163765859,0.664869283623414
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.23797775762233597,0.7620222423776639
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.4658951329970135,0.5341048670029866
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3138725628523402,0.6861274371476601
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.008640453770494657,0.9913595462295054
Baseline,SVM_Linear,0.8,Tuning,Defaults,0.6844288000295905,0.31557119997040944
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2793446135414761,0.7206553864585241
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.16879664247266996,0.83120335752733
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.334075271846418,0.6659247281535817
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.39247150259297586,0.6075284974070244
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.12919252512440824,0.8708074748755917
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.28252928614970463,0.7174707138502953
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.11235685539258038,0.8876431446074197
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3397097485168192,0.6602902514831805
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.16682146362966568,0.8331785363703343
