"cost","gamma","ber.test.mean"
-11.4493025816046,-13.8269983395003,0.333333333333333
0.135150987189263,2.35447665676475,0.666666666666667
10.179117238149,4.63334925938398,0.410714285714286
13.3358501968905,0.349728888832033,0.666666666666667
-12.4523682240397,14.8431152827106,0.333333333333333
-2.95667640399188,11.8693889002316,0.333333333333333
11.305752361659,-6.10545606119558,0.852813852813853
-11.0222427081317,-7.02267277054489,0.333333333333333
-14.8281737160869,9.58805464440957,0.333333333333333
-9.76014963118359,10.2924165618606,0.333333333333333
-9.99863499775529,7.9205830511637,0.333333333333333
0.568142621777952,-6.8194408994168,0.582010582010582
-4.70390592701733,6.15226020338014,0.333333333333333
2.74605903541669,-0.918628871440887,0.661375661375661
-4.90870183333755,14.0351228602231,0.333333333333333
4.37525651184842,-9.11096492316574,0.566137566137566
-4.28458844544366,0.390542463865131,0.333333333333333
11.4899022155441,-10.4199730418622,0.807840307840308
-8.08615207672119,-10.110342646949,0.333333333333333
3.4304057713598,0.0490933167748153,0.666666666666667
-9.35643335804343,-2.76855442207307,0.333333333333333
2.47164140688255,-5.73212804971263,0.614478114478114
-0.571030795108527,13.1818437692709,0.333333333333333
-13.6187835526653,1.0458518913947,0.333333333333333
-1.72017653239891,12.1909640869126,0.333333333333333
11.4312714524567,-10.1027665100992,0.797258297258297
7.56572297075763,-2.91038393508643,0.62987012987013
1.70858080498874,-12.5949215423316,0.444444444444444
-11.5029422286898,12.7557768370025,0.333333333333333
11.3653272204101,-10.103771192953,0.802308802308802
0.946917040273547,12.8937650495209,0.333333333333333
-5.22852018708363,-10.1761610736139,0.333333333333333
13.4912375360727,-1.12928854068741,0.661375661375661
-8.37687338003889,-14.9394230218604,0.333333333333333
3.57577809831128,-2.92482233606279,0.635161135161135
12.0009783189744,0.176459534559399,0.666666666666667
6.79461243096739,-14.1754015535116,0.526455026455027
-3.61760360654444,-3.39766013436019,0.333333333333333
-4.86537824152038,-4.06704446068034,0.333333333333333
4.16267909109592,-14.0125701762736,0.46031746031746
5.8857776527293,9.46692524012178,0.333333333333333
0.222685604821891,-11.6222212230787,0.388888888888889
12.1896990342066,-2.59983140509576,0.634920634920635
-0.787326365243644,6.41142540145665,0.333333333333333
-7.74386368459091,-6.01078117266297,0.333333333333333
6.13436464453116,8.15024844137952,0.333333333333333
-14.5847897836939,1.53941860422492,0.333333333333333
4.57383571425453,12.9498212412,0.333333333333333
5.71175115415826,-7.38698582863435,0.88961038961039
-2.6688488968648,-11.3132666051388,0.333333333333333
-11.0410033282824,4.20354024739936,0.333333333333333
-4.60729703307152,-2.31730186147615,0.333333333333333
13.1822664127685,-3.48332307301462,0.624819624819625
-8.14244606997818,5.70836057653651,0.333333333333333
-14.7042624768801,5.58392683044076,0.333333333333333
8.75023788074031,0.224804661702365,0.666666666666667
-5.75771253090352,7.11636831751093,0.333333333333333
-5.85854269796982,8.24126105289906,0.333333333333333
-11.6365908645093,8.93231099937111,0.333333333333333
-0.269964979961514,9.98754524393007,0.333333333333333
7.75269464822486,12.0643968251534,0.333333333333333
-6.64679960813373,-1.629214505665,0.333333333333333
-6.83952792780474,-5.10245023062453,0.333333333333333
10.9080196148716,-11.7042613984086,0.797739297739298
-2.93229300761595,-2.81774719012901,0.333333333333333
-1.90562235424295,-9.68999711098149,0.37037037037037
-7.02809399692342,4.78650040458888,0.333333333333333
9.48166514514014,-2.36446965951473,0.64021164021164
-10.198070872575,-6.34169618133456,0.333333333333333
9.06387025024742,-10.072629544884,0.813371813371813
8.69378205388784,0.726449098438025,0.666666666666667
-5.39894992019981,-6.74468736397102,0.333333333333333
9.05694114742801,-11.8792670639232,0.574795574795575
10.1436679973267,-12.6221137912944,0.635642135642136
6.52692201314494,10.9385347994976,0.333333333333333
14.3567462428473,-7.52621377352625,0.816017316017316
-14.2541792895645,-8.31065304111689,0.333333333333333
-11.3392350124195,-3.4428172535263,0.333333333333333
-12.4700857652351,-6.5225430065766,0.333333333333333
1.99747376376763,-5.14373092912138,0.707311207311207
13.3042404823937,-3.68089458206668,0.624819624819625
13.5994683718309,-6.80241397116333,0.847763347763348
5.61990468297154,-10.8902458660305,0.555555555555556
9.30632314877585,7.87814076058567,0.333333333333333
-1.72785498434678,-1.2997291632928,0.645743145743146
5.41365266544744,-12.7680627303198,0.544973544973545
4.39887225162238,8.6974233482033,0.333333333333333
-8.30050479853526,-13.7716802861542,0.333333333333333
-3.4605490998365,-4.67723538167775,0.333333333333333
-1.60893923370168,-3.39500491507351,0.333333333333333
12.5495374621823,-9.77947369683534,0.781625781625782
-10.5038831289858,3.39597686659545,0.333333333333333
-14.4827000400983,-13.0166854709387,0.333333333333333
8.36517124436796,13.0696838116273,0.333333333333333
-8.78387581324205,4.30029470706359,0.333333333333333
-5.05861274432391,13.6626477283426,0.333333333333333
9.51567471027374,7.20828429562971,0.333333333333333
-8.31882069585845,-13.6282585049048,0.333333333333333
-4.00420262245461,7.24179075099528,0.333333333333333
13.0051874974743,5.19629849586636,0.333333333333333
6.04071322130039,10.4287622356787,0.333333333333333
6.18469964945689,10.7642327877693,0.333333333333333
-1.63066526642069,5.29904976021498,0.333333333333333
-11.1652565211989,7.08514605648816,0.333333333333333
-12.9826455493458,-6.575997909531,0.333333333333333
-2.65146948862821,13.3027499145828,0.333333333333333
14.3202759954147,-13.8340024463832,0.7999037999038
2.63183331582695,-14.0996496845037,0.351851851851852
1.95843625115231,-12.0531830750406,0.492063492063492
3.90872365795076,9.55505503574386,0.333333333333333
-4.49875010875985,-10.9804897522554,0.333333333333333
-12.5716986483894,-4.48670057114214,0.333333333333333
14.8881535395049,0.989064322784543,0.666666666666667
-4.92307858541608,-5.57296069571748,0.333333333333333
-3.52133818902075,-14.4436077657156,0.333333333333333
-13.9038264937699,11.3553988211788,0.333333333333333
-2.93807928683236,-0.918567774351686,0.333333333333333
-2.92990469606593,6.06270307442173,0.333333333333333
-3.02506604231894,0.0587496813386679,0.498015873015873
-13.8907874794677,-6.06072795577347,0.333333333333333
13.8852594536729,13.0529071390629,0.333333333333333
13.8329753209837,8.77786092460155,0.333333333333333
7.64331578509882,-13.0210010963492,0.560846560846561
-10.9348566248082,-11.292018732056,0.333333333333333
7.87631582468748,12.1039714780636,0.333333333333333
-2.92022729292512,-9.52310976572335,0.333333333333333
-3.7630434287712,0.186260319314897,0.333333333333333
12.405080369208,-12.7006445685402,0.779220779220779
-11.7076342832297,7.62801667442545,0.333333333333333
-5.86203672923148,6.71428969362751,0.333333333333333
-8.03009913302958,-3.1962339906022,0.333333333333333
0.236381907016039,13.1975059630349,0.333333333333333
-13.2637448818423,-5.85702886339277,0.333333333333333
-7.77227867860347,-3.44389694742858,0.333333333333333
7.88950067013502,10.9394099609926,0.333333333333333
5.37333645159379,5.30288116307929,0.333333333333333
-10.0484244176187,9.08602287992835,0.333333333333333
6.3598029431887,12.861092670355,0.333333333333333
-14.7751618525945,2.88994960254058,0.333333333333333
-3.99762957589701,7.2590146609582,0.333333333333333
7.862621715758,-7.17831122456118,0.863395863395863
-7.35192355932668,5.36522429902107,0.333333333333333
-0.435580126941204,-3.64246409386396,0.333333333333333
-13.3335605193861,11.9707769528031,0.333333333333333
9.05169941252097,-0.569608497899026,0.666666666666667
-14.036137224175,0.360204367898405,0.333333333333333
-3.80696183536202,-0.0428494554944336,0.333333333333333
-3.02202789578587,-14.3715916620567,0.333333333333333
0.728670854587108,-10.188034507446,0.576719576719577
-8.84657294489443,14.2568014701828,0.333333333333333
13.9906462538056,7.80210966942832,0.333333333333333
-12.7088840352371,0.474716280587018,0.333333333333333
3.00915583502501,-1.88927727285773,0.650793650793651
-14.9507321650162,-1.93345445673913,0.333333333333333
0.0289130676537752,5.08814118336886,0.333333333333333
5.84571320330724,8.47530943108723,0.333333333333333
-10.8293146337382,-10.1026296825148,0.333333333333333
7.78628730447963,-1.68889147695154,0.650793650793651
3.89006491284817,-11.8646141909994,0.544973544973545
10.0664669182152,-4.98151914216578,0.876623376623377
-9.01442434173077,5.83636429393664,0.333333333333333
-10.0236371182837,-12.7810828853399,0.333333333333333
-13.8529143459164,10.3806064976379,0.333333333333333
-3.79355408018455,11.4213209180161,0.333333333333333
-12.2904668259434,-0.122777663636953,0.333333333333333
7.62968208175153,3.17672439152375,0.634920634920635
0.852383896708488,12.3062004824169,0.333333333333333
14.5718671171926,-6.60772314062342,0.847522847522848
-11.2952491594478,-9.76862868061289,0.333333333333333
11.4400576427579,-11.261151835788,0.818662818662819
-6.03093286044896,-10.0579608022235,0.333333333333333
-12.8217136650346,-7.84758053719997,0.333333333333333
6.49999815970659,4.35062975389883,0.470238095238095
-12.7237510029227,-9.81873233802617,0.333333333333333
-10.6298892642371,-3.24296446982771,0.333333333333333
-8.04764701751992,1.84139468707144,0.333333333333333
2.50560559798032,-12.0372198522091,0.523809523809524
-10.2325037587434,12.6619621203281,0.333333333333333
10.7834915723652,12.2159626032226,0.333333333333333
-11.5419313078746,-13.9338229782879,0.333333333333333
2.57263162638992,-5.57495205430314,0.70971620971621
1.70667822472751,-4.36513753607869,0.892736892736893
-10.7019506511278,2.01406388310716,0.333333333333333
-4.97704026522115,-11.3879642821848,0.333333333333333
-7.32437027385458,-4.39844050677493,0.333333333333333
9.93959788000211,8.49671749630943,0.333333333333333
13.2045662216842,10.1759709510952,0.333333333333333
-10.5304494244047,2.72028255276382,0.333333333333333
9.71887802006677,3.95656096050516,0.55952380952381
-0.902101155370474,-7.23777289269492,0.582010582010582
-14.2625894746743,-5.13575616991147,0.333333333333333
-8.25439546722919,11.3199551822618,0.333333333333333
5.32962602097541,0.777999109122902,0.666666666666667
1.73059991793707,-7.57584979757667,0.582010582010582
-14.7810968756676,13.4671930549666,0.333333333333333
6.57450415659696,-6.62026366218925,0.868446368446368
7.31348568107933,11.1224520276301,0.333333333333333
-3.58889624476433,6.5834254771471,0.333333333333333
-7.81179868848994,4.43294622469693,0.333333333333333
14.2701228219084,-3.66003576200455,0.624819624819625
-1.07567614177242,9.36888887314126,0.333333333333333
-0.16775660449639,-13.4907293203287,0.333333333333333
-11.0813477821648,-10.1568505167961,0.333333333333333
-12.3164052050561,-2.89157735416666,0.333333333333333
-13.0842039640993,1.86017767293379,0.333333333333333
-4.90427676122636,1.21926843188703,0.333333333333333
12.3969366587698,-3.39357722550631,0.624819624819625
13.8080149213783,-3.45940225990489,0.624819624819625
13.2480593794025,5.41906971484423,0.333333333333333
12.0792706101201,-7.38608802901581,0.834535834535834
-2.81708611641079,-14.572541594971,0.333333333333333
-11.6865661740303,0.0461337575688958,0.333333333333333
-3.85420055827126,9.17746662860736,0.333333333333333
-14.7623146930709,10.0953617761843,0.333333333333333
-3.69482462061569,-3.44254400348291,0.333333333333333
13.5459172655828,-0.729772816412151,0.666666666666667
1.56281383009627,13.0414897506125,0.333333333333333
10.9030876820907,-7.20256546977907,0.853054353054353
5.63099503749982,-1.56278261449188,0.650793650793651
-8.4595117229037,5.58710445184261,0.333333333333333
13.7814607587643,-7.21786557231098,0.853054353054353
-0.937200242187828,-5.35981327062473,0.576960076960077
-10.0607155635953,6.44183176103979,0.333333333333333
0.844972541090101,-7.95855959644541,0.597883597883598
-13.0670501547866,5.2729048859328,0.333333333333333
9.18436085572466,-11.5358629426919,0.701779701779702
5.76043264009058,-14.3464131443761,0.507936507936508
-4.15869874181226,6.96840149816126,0.333333333333333
-5.62130874255672,-1.58540840260684,0.333333333333333
9.76317204069346,-5.04613604396582,0.876623376623377
-10.6792449834757,-5.97237743670121,0.333333333333333
-10.121946092695,10.1841473509558,0.333333333333333
4.92922431556508,-10.8339808322489,0.555555555555556
-5.22354558343068,9.94290656642988,0.333333333333333
9.67617313144729,-10.5180023889989,0.837181337181337
